"last_name, first_name","2016","2017","+/-","2018","+/-","2019","+/-","2020","+/-","2021","+/-","2022","+/-","2023","+/-","2024","+/-"
"Chapman, Matt",,0.324,,0.338,0.014,0.359,0.021,0.35,-0.009,0.321,-0.029,0.341,0.02,0.337,-0.004,0.341,0.004
"Joe, Connor",,,,,,,,,,0.37,,0.311,-0.059,0.329,0.018,0.277,-0.052
"Mullins, Cedric",,,,0.275,,0.231,-0.044,0.251,0.02,0.344,0.093,0.288,-0.056,0.291,0.003,0.291,0
"O'Hearn, Ryan",,,,0.345,,0.31,-0.035,0.32,0.01,0.297,-0.023,0.33,0.033,0.324,-0.006,0.351,0.027
"Schwarber, Kyle",0.33,0.347,0.017,0.35,0.003,0.376,0.026,0.34,-0.036,0.399,0.059,0.375,-0.024,0.364,-0.011,0.38,0.016
"Thomas, Lane",,,,,,0.383,,0.213,-0.17,0.322,0.109,0.286,-0.036,0.319,0.033,0.307,-0.012
"Verdugo, Alex",,0.337,,0.313,-0.024,0.339,0.026,0.299,-0.04,0.342,0.043,0.329,-0.013,0.331,0.002,0.302,-0.029
"Wong, Connor",,,,,,,,,,0.325,,0.277,-0.048,0.274,-0.003,0.288,0.014
"DeJong, Paul",,0.335,,0.326,-0.009,0.331,0.005,0.315,-0.016,0.312,-0.003,0.267,-0.045,0.278,0.011,0.291,0.013
"Sheets, Gavin",,,,,,,,,,0.337,,0.283,-0.054,0.267,-0.016,0.309,0.042
"Ohtani, Shohei",,,,0.381,,0.35,-0.031,0.331,-0.019,0.408,0.077,0.383,-0.025,0.427,0.044,0.442,0.015
"Ruiz, Keibert",,,,,,,,0.346,,0.307,-0.039,0.328,0.021,0.322,-0.006,0.279,-0.043
"Sánchez, Jesús",,,,,,,,0.246,,0.333,0.087,0.295,-0.038,0.35,0.055,0.343,-0.007
"Contreras, William",,,,,,,,0.339,,0.32,-0.019,0.347,0.027,0.335,-0.012,0.358,0.023
"Varsho, Daulton",,,,,,,,0.288,,0.323,0.035,0.298,-0.025,0.302,0.004,0.261,-0.041
"Nootbaar, Lars",,,,,,,,,,0.286,,0.346,0.06,0.356,0.01,0.355,-0.001
"Hoerner, Nico",,,,,,0.315,,0.297,-0.018,0.32,0.023,0.301,-0.019,0.311,0.01,0.313,0.002
"Riley, Austin",,,,,,0.309,,0.342,0.033,0.366,0.024,0.378,0.012,0.365,-0.013,0.361,-0.004
"Mountcastle, Ryan",,,,,,,,0.328,,0.326,-0.002,0.362,0.036,0.356,-0.006,0.332,-0.024
"Hayes, Ke'Bryan",,,,,,,,0.362,,0.294,-0.068,0.3,0.006,0.321,0.021,0.279,-0.042
"India, Jonathan",,,,,,,,,,0.352,,0.301,-0.051,0.339,0.038,0.352,0.013
"Raleigh, Cal",,,,,,,,,,0.227,,0.324,0.097,0.33,0.006,0.346,0.016
"Vierling, Matt",,,,,,,,,,0.32,,0.324,0.004,0.322,-0.002,0.309,-0.013
"Stephenson, Tyler",,,,,,,,0.324,,0.324,0,0.318,-0.006,0.314,-0.004,0.322,0.008
"Lowe, Nathaniel",,,,,,0.33,,0.3,-0.03,0.323,0.023,0.344,0.021,0.339,-0.005,0.328,-0.011
"Happ, Ian",,0.336,,0.322,-0.014,0.342,0.02,0.362,0.02,0.317,-0.045,0.306,-0.011,0.35,0.044,0.345,-0.005
"France, Ty",,,,,,0.294,,0.36,0.066,0.346,-0.014,0.321,-0.025,0.342,0.021,0.303,-0.039
"Lowe, Brandon",,,,0.334,,0.34,0.006,0.384,0.044,0.36,-0.024,0.32,-0.04,0.341,0.021,0.346,0.005
"Bader, Harrison",,0.299,,0.286,-0.013,0.312,0.026,0.324,0.012,0.29,-0.034,0.267,-0.023,0.288,0.021,0.294,0.006
"Bohm, Alec",,,,,,,,0.357,,0.313,-0.044,0.333,0.02,0.343,0.01,0.342,-0.001
"Wade Jr., LaMonte",,,,,,0.36,,0.266,-0.094,0.344,0.078,0.319,-0.025,0.36,0.041,0.354,-0.006
"Brown, Seth",,,,,,0.302,,0.247,-0.055,0.318,0.071,0.338,0.02,0.322,-0.016,0.294,-0.028
"Peña, Jeremy",,,,,,,,,,,,0.304,,0.31,0.006,0.31,0
"Tatis Jr., Fernando",,,,,,0.347,,0.422,0.075,,-0.015,,,0.364,,0.387,0.023
"Guerrero Jr., Vladimir",,,,,,0.333,,0.338,0.005,0.421,0.083,0.351,-0.07,0.378,0.027,0.408,0.03
